Type,Slot,Name,Skill,Mastery,Cloth,Bone,Leather,Iron,Selentine,Theyril,Leenspar,Gold,Encumbrance,Bludgeoning,Piercing,Slashing,Acid,Cold,Fire,Holy,Lightning,Unholy,Impact,FiendClaw,Ratka,DragonScales
Scale,Boots,Boots,50,0,0,0,2,4,0,0,0,7,7,0.45,0.51,0.57,1.06,1.06,1.06,1.06,0.78,1.06,0.57,0,0,0
Scale,Gauntlets,Gauntlets,50,0,0,0,2,4,0,0,0,7,7,0.45,0.51,0.57,1.06,1.06,1.06,1.06,0.78,1.06,0.57,0,0,0
Scale,Elbows,Elbow Guards,50,0,0,0,2,4,0,0,0,7,7,0.45,0.51,0.57,1.06,1.06,1.06,1.06,0.78,1.06,0.57,0,0,0
Scale,Greaves,Greaves,50,0,0,0,2,4,0,0,0,7,7,0.45,0.51,0.57,1.06,1.06,1.06,1.06,0.78,1.06,0.57,0,0,0
Scale,Shoulders,Shoulder Guards,50,0,0,0,2,4,0,0,0,7,7,0.45,0.51,0.57,1.06,1.06,1.06,1.06,0.78,1.06,0.57,0,0,0
Scale,Girdle,Girdle,50,0,0,0,2,4,0,0,0,7,7,0.45,0.51,0.57,1.06,1.06,1.06,1.06,0.78,1.06,0.57,0,0,0
Scale,Arms,Vambraces,50,0,0,0,2,4,0,0,0,7,7,0.45,0.51,0.57,1.06,1.06,1.06,1.06,0.78,1.06,0.57,0,0,0
Scale,Legs,Leggings,50,0,0,0,2,4,0,0,0,8,5,0.45,0.51,0.57,1.06,1.06,1.06,1.06,0.78,1.06,0.57,0,0,0
Scale,Head,Helm,50,0,0,0,3,7,0,0,0,10,7,0.92,1.03,1.15,2.18,2.18,2.18,2.18,1.65,2.18,1.15,0,0,0
Scale,Chest,Cuirass,50,0,0,0,4,13,0,0,0,15,28,1.84,2.07,2.3,4.45,4.45,4.45,4.45,3.31,4.45,2.3,0,0,0
Leather,Arms,Armguards,50,0,0,0,3,0,0,0,0,0,1.5,0.3,0.3,0.3,0.38,0.38,0.38,0.38,0.38,0.8,0.22,0,0,0
Leather,Boots,Boots,50,0,0,0,3,0,0,0,0,0,1.5,0.3,0.3,0.3,0.38,0.38,0.38,0.38,0.38,0.8,0.22,0,0,0
Leather,Elbows,Elbow Pads,50,0,0,0,3,0,0,0,0,0,1.5,0.3,0.3,0.3,0.38,0.38,0.38,0.38,0.38,0.8,0.22,0,0,0
Leather,Gauntlets,Gauntlets,50,0,0,0,3,0,0,0,0,0,1.5,0.3,0.3,0.3,0.38,0.38,0.38,0.38,0.38,0.8,0.22,0,0,0
Leather,Girdle,Girdle,50,0,0,0,3,0,0,0,0,0,1.5,0.3,0.3,0.3,0.38,0.38,0.38,0.38,0.38,0.8,0.22,0,0,0
Leather,Greaves,Greaves,50,0,0,0,3,0,0,0,0,0,1.5,0.3,0.3,0.3,0.38,0.38,0.38,0.38,0.38,0.8,0.22,0,0,0
Leather,Legs,Leggings,50,0,0,0,3,0,0,0,0,0,1.5,0.3,0.3,0.3,0.38,0.38,0.38,0.38,0.38,0.8,0.22,0,0,0
Leather,Shoulders,Shoulder Pads,50,0,0,0,3,0,0,0,0,0,1.5,0.3,0.3,0.3,0.38,0.38,0.38,0.38,0.38,0.8,0.22,0,0,0
Leather,Head,Hat,50,0,0,0,6,0,0,0,0,0,1.5,0.57,0.57,0.57,0.73,0.73,0.73,0.73,0.73,0.73,0.42,0,0,0
Leather,Chest,Cuirass,50,0,0,0,12,0,0,0,0,0,5.75,1.15,1.15,1.15,1.51,1.51,1.51,1.51,1.51,1.51,0.86,0,0,0
Studded,Arms,Armguards,75,0,0,0,2,1,0,0,0,4,1.75,0.35,0.35,0.35,0.45,0.45,0.45,0.45,0.45,0.45,0.26,0,0,0
Studded,Chest,Cuirass,75,0,0,0,8,2,0,0,0,16,7.15,1.43,1.43,1.43,1.89,1.89,1.89,1.89,1.89,1.89,1.07,0,0,0
Studded,Elbows,Elbow Guards,75,0,0,0,2,1,0,0,0,4,1.75,0.35,0.35,0.35,0.45,0.45,0.45,0.45,0.45,0.45,0.26,0,0,0
Studded,Girdle,Girdle,75,0,0,0,2,1,0,0,0,4,1.75,0.35,0.35,0.35,0.45,0.45,0.45,0.45,0.45,0.45,0.26,0,0,0
Studded,Greaves,Greaves,75,0,0,0,2,1,0,0,0,4,1.75,0.35,0.35,0.35,0.45,0.45,0.45,0.45,0.45,0.45,0.26,0,0,0
Studded,Legs,Leggings,75,0,0,0,2,1,0,0,0,4,1.4,0.35,0.35,0.35,0.45,0.45,0.45,0.45,0.45,0.45,0.26,0,0,0
Studded,Shoulders,Shoulder Pads,75,0,0,0,2,1,0,0,0,4,1.75,0.35,0.35,0.35,0.45,0.45,0.45,0.45,0.45,0.45,0.26,0,0,0
Bone,Elbows,Elbow Guards,100,0,0,2,2,0,0,0,0,9,1.5,0.3,0.3,0.3,0.56,0.56,0.56,0.68,0.56,0.68,0.18,0,0,0
Bone,Girdle,Girdle,100,0,0,2,2,0,0,0,0,9,1.5,0.3,0.3,0.3,0.56,0.56,0.56,0.68,0.56,0.68,0.18,0,0,0
Bone,Greaves,Greaves,100,0,0,2,2,0,0,0,0,9,1.5,0.3,0.3,0.3,0.56,0.56,0.56,0.68,0.56,0.68,0.18,0,0,0
Bone,Legs,Leggings,100,0,0,2,2,0,0,0,0,11,1.5,0.3,0.3,0.3,0.56,0.56,0.56,0.68,0.56,0.68,0.18,0,0,0
Bone,Shoulders,Shoulder Guards,100,0,0,2,2,0,0,0,0,9,1.5,0.3,0.3,0.3,0.56,0.56,0.56,0.68,0.56,0.68,0.18,0,0,0
Bone,Arms,Vambraces,100,0,0,2,2,0,0,0,0,9,1.5,0.3,0.3,0.3,0.56,0.56,0.56,0.68,0.56,0.68,0.18,0,0,0
Bone,Head,Helmet,100,0,0,4,3,0,0,0,0,11,1.5,0.6,0.6,0.6,1.16,1.16,1.16,1.4,1.16,1.4,0.37,0,0,0
Bone,Chest,Breastplate,100,0,0,0,4,0,0,0,0,18,6,1.2,1.2,1.2,2.37,2.37,2.37,2.84,2.37,2.84,0.75,0,0,0
